,Rank,Country/Region,Electricity consumption (GWÂ·h/yr),Year of data,Source,Population,As of,Average electrical energy per capita (kWh per person per year),Average power per capita (watts per person)
192,193,Sierra Leone,242,2018 est.,EIA,7813220,2019,31.0,4.0
193,194,Turks and Caicos Islands,186,2018 est.,EIA,38190,2019,4870.0,556.0
194,195,Gibraltar,196,2018 est.,EIA,33700,2019,5803.0,662.0
195,196,Grenada,198,2018 est.,EIA,112000,2019,1772.0,202.0
196,197,"Micronesia, Federated States of",125,2002 est.,EIA,113810,2019,1101.0,126.0
197,198,Timor-Leste,100,2014 est.,EIA,1293120,2019,77.0,9.0
198,199,British Virgin Islands,94,2018 est.,EIA,30030,2019,3145.0,359.0
199,200,Saint Vincent and the Grenadines,133,2018 est.,EIA,110590,2019,1203.0,137.0
200,201,American Samoa,152,2018 est.,EIA,55310,2019,2741.0,313.0
201,202,Samoa,124,2018 est.,EIA,197100,2019,627.0,72.0
202,203,Equatorial Guinea,1321,2018 est.,EIA,1355990,2019,975.0,111.0
203,205,Dominica,59.69,2019 est.,EIA,71810,2019,831.0,95.0
204,206,Solomon Islands,98.26,2018 est.,EIA,669820,2019,147.0,17.0
205,207,Sao Tome and Principe,80.91,2018 est.,EIA,215060,2019,376.0,43.0
206,208,Vanuatu,65.19,2018 est.,EIA,299880,2019,217.0,25.0
207,209,Tonga,51.15,2018 est.,EIA,104490,2019,490.0,56.0
208,210,Saint Pierre and Miquelon,44.64,2018 est.,EIA,850890,2016,7479.0,853.0
209,211,Comoros,93.37,2018 est.,EIA,850890,2019,110.0,13.0
210,212,Guinea-Bissau,39.06,2018 est.,EIA,1920920,2019,20.0,2.0
211,213,Cook Islands,38.81,2018 est.,EIA,9556,2016,3308.0,377.0
212,214,Kiribati,27.75,2018 est.,EIA,117610,2019,236.0,27.0
213,215,Nauru,32.55,2018 est.,EIA,12580,2019,2587.0,295.0
214,216,Montserrat,14.88,2018 est.,EIA,5267,2016,4061.0,463.0
215,217,Falkland Islands,18.32,2018 est.,EIA,2931,2016,4759.0,543.0
216,218,"Saint Helena, Ascension and Tristan da Cunha",2.79,2018 est.,EIA,7795,2016,3126.0,357.0
217,219,Niue,7.44,2018 est.,EIA,1190,2016,1193.0,136.0
218,219,Gaza Strip,202[contradictory],2009,CIA,1753327,2016,0.1,0.01
